year,reporting_state,consulate_country,income_group,region,apps,issued,not_issued,refusal_rate
2005,Austria,Russian Federation,Upper middle income,Europe & Central Asia,76478,76294,184,0.0024059206569209445
2005,Austria,Switzerland,High income,Europe & Central Asia,75260,75145,115,0.0015280361413765613
2005,Austria,Serbia,Upper middle income,Europe & Central Asia,42608,41465,1143,0.026825948178745774
2005,Austria,China,Upper middle income,East Asia & Pacific,41376,39025,2351,0.05682037896365043
2005,Austria,Ukraine,Lower middle income,Europe & Central Asia,32053,28172,3881,0.12108071007394004
2005,Austria,"Taiwan, China",High income,East Asia & Pacific,29788,29745,43,0.0014435343091177655
2005,Austria,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,21410,18294,3116,0.1455394675385334
2005,Austria,Türkiye,Upper middle income,Europe & Central Asia,16120,13749,2371,0.14708436724565757
2005,Austria,India,Lower middle income,South Asia,12917,12092,825,0.06386931950143222
2005,Austria,Thailand,Upper middle income,East Asia & Pacific,9519,9335,184,0.019329761529572435
2005,Austria,North Macedonia,Upper middle income,Europe & Central Asia,9251,7402,1849,0.19987028429358988
2005,Austria,South Africa,Upper middle income,Sub-Saharan Africa,8919,8896,23,0.002578764435474829
2005,Austria,"Iran, Islamic Rep.",Lower middle income,Middle East & North Africa,7184,7184,0,0
2005,Austria,United Kingdom,High income,Europe & Central Asia,5304,5254,50,0.00942684766214178
2005,Austria,Saudi Arabia,High income,Middle East & North Africa,4752,4752,0,0
2005,Austria,Czechia,High income,Europe & Central Asia,4405,4314,91,0.020658342792281497
2005,Austria,Albania,Upper middle income,Europe & Central Asia,3644,3025,619,0.1698682766190999
2005,Austria,Hungary,High income,Europe & Central Asia,2960,2918,42,0.01418918918918919
2005,Austria,United States,High income,North America,2849,2839,10,0.00351000351000351
2005,Austria,United Arab Emirates,High income,Middle East & North Africa,2814,2804,10,0.0035536602700781805
2005,Austria,Romania,High income,Europe & Central Asia,2469,1732,737,0.2985014175779668
2005,Austria,Kuwait,High income,Middle East & North Africa,2445,2392,53,0.021676891615541923
2005,Austria,"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,2128,2128,0,0
2005,Austria,Jordan,Lower middle income,Middle East & North Africa,1859,1777,82,0.04410973641742873
2005,Austria,Nigeria,Lower middle income,Sub-Saharan Africa,1630,1596,34,0.020858895705521473
2005,Austria,Slovenia,High income,Europe & Central Asia,1608,1608,0,0
2005,Austria,Indonesia,Upper middle income,East Asia & Pacific,1512,1512,0,0
2005,Austria,Lebanon,Lower middle income,Middle East & North Africa,1496,1399,97,0.06483957219251336
